filename,folder,q,RR-2D-xy,RR-1D-x,DET-2D-xy,DET-1D-x,ENT-2D-xy,ENT-1D-x
n1q1_preprocessed_calibrated.csv,1,1,0.07239750038103948,0.16415180612711477,0.6757894736842105,0.6973073351903436,1.1531208091804073,1.4034215150189902
n1q2_preprocessed_calibrated.csv,1,2,0.05703554895624072,0.15835444143593327,0.6937212863705973,0.7109762824048539,1.9469690354852787,1.7691874063087636
n1q3_preprocessed_calibrated.csv,1,3,0.09488399762046401,0.15734681737061273,0.8307210031347962,0.7485822306238186,2.289481952076503,2.2646832387651323
n1q4_preprocessed_calibrated.csv,1,4,0.1504070612099449,0.3240865107864368,0.8381629305631493,0.9289520426287744,2.814636084112673,3.027665904819324
n1q5_preprocessed_calibrated.csv,1,5,0.06327160493827161,0.18132716049382716,0.6280487804878049,0.674468085106383,0.9192195589880802,1.6143353773468765
n10q1_preprocessed_calibrated.csv,10,1,0.09511747750895275,0.16359507380557253,0.8898071625344353,0.8366257341163909,2.4845840662156014,2.7430261423555082
n10q2_preprocessed_calibrated.csv,10,2,0.06842737094837935,0.1606524962926347,0.8307533539731682,0.8232967032967033,2.118190462802855,2.344670336971016
n10q3_preprocessed_calibrated.csv,10,3,0.06046597633136094,0.1338757396449704,0.8134556574923547,0.7762430939226519,1.6144539815670789,1.9658187825636313
n10q4_preprocessed_calibrated.csv,10,4,0.24738292011019283,0.35522497704315886,0.8993318485523385,0.9391996691138456,2.9565718389716333,3.0621230040643987
n10q5_preprocessed_calibrated.csv,10,5,0.06902848794740686,0.16252739225712198,0.8677248677248677,0.7460674157303371,1.6553280713320289,1.8449612318670148
n11q1_preprocessed_calibrated.csv,11,1,0.1076388888888889,0.1831597222222222,0.9213709677419355,0.8021327014218009,2.3443102486480987,2.3572098989748747
n11q2_preprocessed_calibrated.csv,11,2,0.06642576256775427,0.13487086831756828,0.8592,0.7620173364854216,2.651445907986141,2.223933785179693
n11q3_preprocessed_calibrated.csv,11,3,0.07790413433946222,0.13997236688277181,0.8635743519781719,0.8162490508731967,2.2421563688580113,2.225822255371519
n11q4_preprocessed_calibrated.csv,11,4,0.19959099342216224,0.29585511890706695,0.9444385761064751,0.9580987671916198,3.472109843437824,3.6364389896929756
n11q5_preprocessed_calibrated.csv,11,5,0.09209876543209876,0.1765432098765432,0.8579088471849866,0.8853146853146853,2.252286688464274,2.3296565619168232
n12q1_preprocessed_calibrated.csv,12,1,0.07984427293217676,0.16508435216173759,0.8169375534644996,0.8311956971452213,2.038877174987529,2.1247777801829213
n12q2_preprocessed_calibrated.csv,12,2,0.10024507493637477,0.20049014987274955,0.918194640338505,0.925716972261401,2.760978960623762,2.873791558788011
n12q3_preprocessed_calibrated.csv,12,3,0.07291666666666667,0.13020833333333334,0.8363095238095238,0.7666666666666667,2.6112429662027856,2.293606886735496
n12q4_preprocessed_calibrated.csv,12,4,0.19518689925240298,0.2958063367746529,0.9166849055227256,0.9262504212198527,3.0524576095218436,3.2141679724388252
n12q5_preprocessed_calibrated.csv,12,5,0.06578947368421052,0.18386426592797783,0.8631578947368421,0.8436911487758946,2.600056064886979,2.874909907383295
n13q1_preprocessed_calibrated.csv,13,1,0.09065661575084309,0.14263043047014481,0.8949671772428884,0.913769123783032,2.3971020909493017,2.371517566246189
n13q2_preprocessed_calibrated.csv,13,2,0.05558278600137241,0.1412606607195373,0.8659611992945326,0.8931297709923665,2.237985233281807,2.44335787394635
n13q3_preprocessed_calibrated.csv,13,3,0.05739644970414201,0.1298224852071006,0.9092783505154639,0.8687329079307201,2.7608227590519006,2.95188286416442
n13q4_preprocessed_calibrated.csv,13,4,0.17233835683033544,0.31678057708255886,0.8950468762963577,0.9326562852629203,3.034406981359971,3.534982232402354
n13q5_preprocessed_calibrated.csv,13,5,0.06564056133997284,0.16636487098234495,0.8344827586206897,0.8163265306122449,1.969362174518162,2.059857144956773
n14q1_preprocessed_calibrated.csv,14,1,0.06435911303407248,0.14683612763656032,0.8781512605042017,0.9079189686924494,2.6990398800120112,2.6197897397695975
