filename,folder,q,RR-2D-xy,RR-1D-x,DET-2D-xy,DET-1D-x,ENT-2D-xy,ENT-1D-x
ad10q1_preprocessed_calibrated.csv,10,1,0.043136,0.168768,0.7277448071216617,0.7658323852863101,2.303415070842896,2.2911090087816026
ad10q2_preprocessed_calibrated.csv,10,2,0.03619047619047619,0.16263038548752834,0.7468671679197995,0.7863915225878416,1.8804230083229623,2.0989065300062153
ad10q3_preprocessed_calibrated.csv,10,3,0.059094650205761316,0.1490809327846365,0.7307335190343547,0.7408906882591093,2.1030090702577535,2.0426942373252746
ad10q4_preprocessed_calibrated.csv,10,4,0.0385175689062409,0.18291474855777634,0.7140695915279879,0.8340235743867473,1.9732629600090026,2.433695450154745
ad10q5_preprocessed_calibrated.csv,10,5,0.04154492330168006,0.14581811541271,0.6307692307692307,0.6643706950532248,1.8659138524588434,1.6591806575928605
ad11q1_preprocessed_calibrated.csv,11,1,0.0389654857560263,0.19201972242512783,0.6397188049209139,0.7882786495482644,1.6835052738795544,2.161571375407706
ad11q2_preprocessed_calibrated.csv,11,2,0.04557455721496842,0.18607805214711617,0.6914949815108293,0.7378703583904774,1.8022134575126423,1.8650879805047962
ad11q3_preprocessed_calibrated.csv,11,3,0.057733999434442455,0.15034404750683383,0.7804081632653062,0.7523510971786834,2.0723573076030823,1.9606523994702585
ad11q4_preprocessed_calibrated.csv,11,4,0.03594369434070669,0.1427405917839701,0.656809462915601,0.7294719046852358,1.7013474591208977,1.899627559963539
ad11q5_preprocessed_calibrated.csv,11,5,0.09295565170362358,0.2120740941049216,0.7403636363636363,0.7963021995537137,2.011019354134513,2.0476727758702666
ad12q1_preprocessed_calibrated.csv,12,1,0.05233414350881814,0.24251385879000492,0.6225120109814688,0.7643051098494199,1.4525478735017838,2.0598429869906987
ad12q2_preprocessed_calibrated.csv,12,2,0.04424231492694993,0.18812646551057743,0.5946418171228888,0.7356526503218738,1.7481809030092876,1.8862075335095811
ad12q3_preprocessed_calibrated.csv,12,3,0.0645466420431512,0.13949822080086483,0.7780879274249826,0.7397481433645463,1.827922332495751,1.902337333360336
ad12q4_preprocessed_calibrated.csv,12,4,0.036699503351964466,0.15697683948269928,0.6971862438588655,0.6869583376840347,1.8513501862354587,2.010819475553988
ad12q5_preprocessed_calibrated.csv,12,5,0.047888161808447356,0.21162998215348008,0.7065217391304348,0.7227687983134223,1.7180101040136417,1.9757084840735295
ad13q1_preprocessed_calibrated.csv,13,1,0.06013550182944977,0.20691164370371667,0.7228529839883552,0.7862763347152889,1.7455003718676092,2.198981023901613
ad13q2_preprocessed_calibrated.csv,13,2,0.04576448619284744,0.18839124038026256,0.6902627511591963,0.7760006007359015,1.72658303830746,2.066116493008451
ad13q3_preprocessed_calibrated.csv,13,3,0.0987871581450654,0.1772651605231867,0.7313432835820896,0.7467131741346927,1.8599825125240623,1.7868921263395785
ad13q4_preprocessed_calibrated.csv,13,4,0.03757356269805342,0.1738620300995002,0.7039586919104991,0.7886178861788617,1.851531508658609,2.0741890909724137
ad13q5_preprocessed_calibrated.csv,13,5,0.05316326530612245,0.17326530612244898,0.7216890595009597,0.7367491166077739,2.457128731207234,2.0626456233360826
ad14q1_preprocessed_calibrated.csv,14,1,0.046745152354570635,0.20221606648199447,0.7273148148148149,0.839576198630137,1.9092616720937368,2.374810975448805
ad14q2_preprocessed_calibrated.csv,14,2,0.06372689840084267,0.2072520667751923,0.8357124968695216,0.9048205760049284,2.411488899659113,2.7057158804316237
ad14q3_preprocessed_calibrated.csv,14,3,0.09965635738831616,0.21340088095322446,0.8414504088162105,0.8918709534613469,2.4690281708530826,2.886965496036608
ad14q4_preprocessed_calibrated.csv,14,4,0.03811028393351801,0.18838729224376732,0.6819988642816581,0.7893164847788627,1.7994996650842732,2.2539914531846637
ad14q5_preprocessed_calibrated.csv,14,5,0.050938750384733764,0.16851338873499538,0.6797583081570997,0.7205479452054795,1.2030632406772355,1.3051602770701323
ad15q1_preprocessed_calibrated.csv,15,1,0.05161072693540226,0.18407404284027662,0.6617647058823529,0.7968159431909289,1.4672760322198724,2.1013394528158282
ad15q2_preprocessed_calibrated.csv,15,2,0.03413973164121885,0.16508030933967877,0.6882865440464666,0.6934934934934935,1.539335733840682,1.8002639706425771
ad15q3_preprocessed_calibrated.csv,15,3,0.05009004609138915,0.16131986203107354,0.6404631322364412,0.7358561967833491,1.6438142820581523,1.8478253489637784
ad15q4_preprocessed_calibrated.csv,15,4,0.038660731782424906,0.18714481677444642,0.5249818971759594,0.6622288706058339,1.3633421503855199,1.769340952238693
ad15q5_preprocessed_calibrated.csv,15,5,0.03904117716862466,0.1964716585578102,0.6008105369807497,0.7435071471713308,1.7039020448234785,1.8667463383687308
ad16q1_preprocessed_calibrated.csv,16,1,0.07047169051518161,0.2005288732583425,0.8057142857142857,0.8746234687730102,2.3754241790532,2.7557461405476364
ad16q2_preprocessed_calibrated.csv,16,2,0.09193857416568961,0.21244530870199319,0.8407465007776049,0.818818145107013,2.7023990993378804,2.436873678920206
ad16q3_preprocessed_calibrated.csv,16,3,0.0342797783933518,0.14534279778393353,0.6994949494949495,0.6491959499702203,1.750092220849808,1.7778562179094637
ad16q4_preprocessed_calibrated.csv,16,4,0.028615014792899407,0.13419933431952663,0.6768982229402262,0.6624181880812953,1.6174773112315286,1.631821056570071
ad16q5_preprocessed_calibrated.csv,16,5,0.03217993079584775,0.1740484429065744,0.5634408602150538,0.6600397614314115,1.1830072888344583,1.6627251448513864
ad17q1_preprocessed_calibrated.csv,17,1,0.04719870795277344,0.18367119625751838,0.7262536873156342,0.7618253486961795,1.8456664616955782,2.1639438662452504
ad17q2_preprocessed_calibrated.csv,17,2,0.04269495839171838,0.1551946009322543,0.6503683858004019,0.6672194582642343,1.741736544652208,1.5894595270292387
ad17q3_preprocessed_calibrated.csv,17,3,0.03467689097041908,0.12266737848528234,0.6347095871238628,0.629673590504451,1.5466226163031394,1.7228512827572449
ad17q4_preprocessed_calibrated.csv,17,4,0.03550928021729289,0.15730194658216387,0.6828148903620602,0.6956371589731783,1.8696161005381193,1.7700902242019003
ad17q5_preprocessed_calibrated.csv,17,5,0.02953780226507499,0.146107540046934,0.5958549222797928,0.6089385474860335,1.003848520839026,1.3636209453233217
ad18q1_preprocessed_calibrated.csv,18,1,0.03985300967858806,0.16414781843589876,0.5409090909090909,0.670029954280309,1.3897254922629079,1.7540497706332467
ad18q2_preprocessed_calibrated.csv,18,2,0.04008410823832029,0.17469811879267932,0.6516424751718869,0.7066900379783816,1.5646055752897858,1.912604675350234
ad18q3_preprocessed_calibrated.csv,18,3,0.04590859686351638,0.12954816003312458,0.6459977452085682,0.5940870954854175,1.5039545762055906,1.3022040230005185
ad18q4_preprocessed_calibrated.csv,18,4,0.026585427559453534,0.13906223646483387,0.626486915146709,0.6855670103092784,1.5669959200846408,1.6379777807823164
ad18q5_preprocessed_calibrated.csv,18,5,0.04417777777777778,0.1944,0.5855130784708249,0.7096479195244627,1.40838119221984,1.570945888430701
ad19q1_preprocessed_calibrated.csv,19,1,0.04094411090211034,0.17900487000438042,0.5619886721208307,0.6179645890312365,1.1781777742260353,1.8692344700826917
