filename,folder,q,RR-2D-xy,RR-1D-x,DET-2D-xy,DET-1D-x,ENT-2D-xy,ENT-1D-x
m1q1_preprocessed_calibrated.csv,1,1,0.09789932619896947,0.2910556216144801,0.4089068825910931,0.5805719473445302,1.9279820076800032,1.9896248508366654
m1q2_preprocessed_calibrated.csv,1,2,0.10571021142042285,0.3074586149172298,0.5964809384164222,0.7721314781205888,2.2930364077015013,2.725656945555128
m1q3_preprocessed_calibrated.csv,1,3,0.1126530612244898,0.21714285714285714,0.5869565217391305,0.6597744360902256,1.8078359231621537,2.8137733358791124
m1q4_preprocessed_calibrated.csv,1,4,0.21675380637747774,0.40653835104854924,0.7424587817420347,0.8539811752734673,2.946373886862745,3.557445873249175
m1q5_preprocessed_calibrated.csv,1,5,0.1942554799697657,0.43209876543209874,0.5512321660181583,0.7072886297376093,2.1714348434681794,2.5944589121798
m10q1_preprocessed_calibrated.csv,10,1,0.24973745011552195,0.3521319050619618,0.9366063919259883,0.9153742916790933,4.10189075349626,3.967989206201432
m10q2_preprocessed_calibrated.csv,10,2,0.09963540931325732,0.27684807614048784,0.716929232308077,0.7822708864556772,2.9417562131554207,2.9950702494844177
m10q3_preprocessed_calibrated.csv,10,3,0.10343428880475933,0.22856949702541915,0.7803921568627451,0.7074829931972789,2.6954416522744515,2.4935859566035226
m10q4_preprocessed_calibrated.csv,10,4,0.11349108367626887,0.30599451303155006,0.661449205294011,0.7102703187340297,2.6499296161869488,2.8205112092864026
m10q5_preprocessed_calibrated.csv,10,5,0.1450887573964497,0.3306508875739645,0.6574225122349103,0.7666428060128847,1.9952458887779136,2.3414323566107154
m11q1_preprocessed_calibrated.csv,11,1,0.2334138121824858,0.38287812484281475,0.9379377222282081,0.942787703625854,4.333660996751789,4.131433430666365
m11q2_preprocessed_calibrated.csv,11,2,0.14202348501883957,0.309281573419478,0.8139409152346013,0.8675675196396588,3.227769367544081,3.437096842208393
m11q3_preprocessed_calibrated.csv,11,3,0.09705075445816186,0.23491083676268862,0.7915194346289752,0.8248175182481752,2.674465729618979,2.8022751577772333
m11q4_preprocessed_calibrated.csv,11,4,0.06873914930555555,0.24488661024305555,0.5236779794790845,0.6230407089448906,2.200326882456537,2.237309724730563
m11q5_preprocessed_calibrated.csv,11,5,0.08082279587436629,0.2632130994697279,0.42321557317952413,0.5868939561655966,1.6462425202412483,2.1107271085476977
m12q1_preprocessed_calibrated.csv,12,1,0.10023597004206422,0.24489586539448036,0.6881610371886728,0.6874738165060745,2.3409600741743515,2.6026382109422133
m12q2_preprocessed_calibrated.csv,12,2,0.12269471117207743,0.289437585733882,0.6074534161490683,0.6429699842022117,2.2744480332899606,2.289352613312377
m12q3_preprocessed_calibrated.csv,12,3,0.10106122448979592,0.2348734693877551,0.5302100161550889,0.4945085499791464,2.027122571114123,1.9046815459296704
m12q4_preprocessed_calibrated.csv,12,4,0.07093425605536333,0.29209919261822376,0.47899728997289975,0.631951299769661,2.0504833666569304,2.3497356652386636
m12q5_preprocessed_calibrated.csv,12,5,0.14149305555555555,0.3420138888888889,0.5644171779141104,0.7182741116751269,2.1429212114234706,2.1846996593861174
m13q1_preprocessed_calibrated.csv,13,1,0.14882881484212773,0.33431659842030703,0.8093623679749642,0.8604516166482846,3.0210625234702326,3.3499128998109633
m13q2_preprocessed_calibrated.csv,13,2,0.09875608436992969,0.2802163331530557,0.5185104052573932,0.5999382382459661,1.821667724048778,2.219474706464237
m13q3_preprocessed_calibrated.csv,13,3,0.11405166981726528,0.2904851921865154,0.6427255985267035,0.6514822848879248,1.8875555595101896,2.0252663747176234
m13q4_preprocessed_calibrated.csv,13,4,0.18020680485805415,0.36185339037344744,0.7915822470277916,0.8130866030803205,3.2073774692256163,3.314192015751346
m13q5_preprocessed_calibrated.csv,13,5,0.16646848989298454,0.4637336504161712,0.6178571428571429,0.8320512820512821,1.7916589125555709,2.8267043536387337
m14q1_preprocessed_calibrated.csv,14,1,0.17341706302021404,0.2777571343638526,0.9145061067066638,0.908628762541806,3.82333127675663,4.055227000950316
m14q2_preprocessed_calibrated.csv,14,2,0.15649296803802926,0.31250153939622827,0.9214102093279471,0.9131439981083992,4.261000325186078,4.228251694211459
m14q3_preprocessed_calibrated.csv,14,3,0.1531394035591099,0.268642593327432,0.8728323699421965,0.8011589592091808,3.473807766123055,3.198020592677239
