ID,Group,folder,q,RR-2D-xy,RR-1D-x,DET-2D-xy,DET-1D-x,ENT-2D-xy,ENT-1D-x
n1q1,Control,1,1,0.0928212162780064,0.2046944063404968,0.3858784893267651,0.454951600893522,0.866943997998272,1.2974771396460971
n1q2,Control,1,2,0.075901825486942,0.2048213817800681,0.5166858457997698,0.5539445628997868,1.947987630856836,1.853295451540507
n1q3,Control,1,3,0.1136228435455086,0.1954193932183224,0.7356020942408377,0.6179604261796042,2.471300929294098,2.4427343617656723
n1q4,Control,1,4,0.2187165921986787,0.3904224116663469,0.7658854493044241,0.8650565189917855,3.265461794962797,3.479836056939965
n1q5,Control,1,5,0.0929783950617283,0.2449845679012345,0.4481327800829875,0.5464566929133858,1.1216659164865312,1.6908917356105748
n10q1,Control,10,1,0.1403616036335051,0.2177482749585116,0.8021157436216553,0.7047733654231849,3.0237583361910056,3.0235665122124837
n10q2,Control,10,2,0.0951204011016171,0.2051408798813643,0.726800296956199,0.7411359724612737,2.338001917142412,2.444675066741076
n10q3,Control,10,3,0.0776627218934911,0.1643860946745562,0.580952380952381,0.6220472440944882,2.138742222610584,2.319809330474286
n10q4,Control,10,4,0.340752984389348,0.4356657483930211,0.8829362940605799,0.8952870752887615,3.42923137615617,3.357915669364428
n10q5,Control,10,5,0.0931336742147553,0.2030679327976625,0.7294117647058823,0.5809352517985612,2.94084147659166,2.544904298027322
n11q1,Control,11,1,0.1358506944444444,0.2293836805555555,0.8194888178913738,0.6887417218543046,2.951340675624637,3.108503257134054
n11q2,Control,11,2,0.078116696779679,0.1690934211924752,0.746938775510204,0.6580766813324953,2.758811739682142,2.4381772373086075
n11q3,Control,11,3,0.0953342544372409,0.175045169518546,0.7079152731326644,0.6490588949605343,2.4779497344155548,2.434136198643208
n11q4,Control,11,4,0.2701762523191094,0.36211840107944,0.9307062036675772,0.9312412668840242,4.024958120093472,3.912226572228438
n11q5,Control,11,5,0.122716049382716,0.2385185185185185,0.738430583501006,0.7939958592132506,2.7724920822039283,2.7481959362887625
n12q1,Control,12,1,0.1165903968308175,0.2204084420463083,0.718804920913884,0.6987914471645491,2.311102026741392,2.377088651001797
n12q2,Control,12,2,0.1346969554152135,0.2575172023753417,0.8236529041287614,0.8559663250366032,3.451993773104822,3.383418574538818
n12q3,Control,12,3,0.0874565972222222,0.1749131944444444,0.8039702233250621,0.6923076923076923,2.6773757603504778,2.458156056129867
n12q4,Control,12,4,0.2769526521893912,0.372815948736205,0.896549951154301,0.9072609907948512,3.471341314739828,3.504327431660645
n12q5,Control,12,5,0.0886426592797784,0.2119113573407202,0.7578125,0.7222222222222222,2.559962409458829,3.247742182809743
n13q1,Control,13,1,0.1077167228724459,0.166831977782186,0.8268876611418048,0.8192627824019025,2.343126908239307,2.450919929558629
n13q2,Control,13,2,0.07224781884129,0.1794922066464072,0.8073270013568521,0.8088476242490442,2.577386520093291,2.867444483448387
n13q3,Control,13,3,0.0757396449704142,0.1636686390532544,0.84375,0.8235719450469993,3.137532973577495,3.148391078886293
n13q4,Control,13,4,0.2668077440018302,0.4050730647144613,0.864951768488746,0.9081891987292624,3.666109260126528,4.035597055208625
n13q5,Control,13,5,0.1004979628791308,0.2145767315527388,0.7342342342342343,0.6962025316455697,2.3697058688379347,2.518583861296239
n14q1,Control,14,1,0.0865332612222823,0.1930773391022174,0.803125,0.8389355742296919,3.24093077961837,3.139390042015575
