,,,RR-2D-xy,RR-2D-xy,DET-2D-xy,DET-2D-xy,ENT-2D-xy,ENT-2D-xy
,,,mean,std,mean,std,mean,std
Group,folder,q,,,,,,
AD,3,1,0.1435983028011824,,0.9291415768099706,,3.053131136541015,
AD,3,2,0.0622076186233014,,0.7466427931960609,,1.90433412502397,
AD,3,3,0.0650746944318696,,0.8973913043478261,,2.7218643794076254,
AD,3,4,0.0477502295684113,,0.7136752136752137,,1.9010832176838413,
AD,3,5,0.0598335067637877,,0.7053140096618358,,1.8826864920536044,
AD,4,1,0.0488161616761576,,0.7073764258555133,,1.87882817806508,
AD,4,2,0.0566726155066428,,0.775134126428738,,2.1391237804813144,
AD,4,3,0.0482620010822231,,0.7757608115323011,,1.7821054499918056,
AD,4,4,0.0439935576485417,,0.7449263828093912,,1.9338445971770049,
AD,4,5,0.0386911004748193,,0.6875308033514046,,1.726874187089572,
AD,5,1,0.0629716809434832,,0.77495183044316,,2.118185495039753,
AD,5,2,0.0560554602429886,,0.6714553404122423,,1.747946458142483,
AD,5,3,0.0635705910949698,,0.8461538461538461,,2.850410374990365,
AD,5,4,0.0471822222222222,,0.7311228334589299,,2.1152484809530083,
AD,5,5,0.0642285714285714,,0.7386883579054397,,1.9350809896475,
AD,6,1,0.0975635370720436,,0.7761033369214209,,2.1301193691543028,
AD,6,2,0.0566712834718374,,0.6945010183299389,,1.9877577351872548,
AD,6,3,0.0509647132813728,,0.6324371970030851,,1.5168957666032592,
AD,6,4,0.0451444331543039,,0.7447749196141479,,2.012219473108766,
AD,6,5,0.0823385368839914,,0.6555142503097894,,1.938997076954168,
AD,7,1,0.0476784170202497,,0.6347532686630114,,1.586483539906858,
AD,7,2,0.0814664279608393,,0.7279746584834687,,1.803543154953942,
AD,7,3,0.0649527410207939,,0.6763678696158324,,1.7675398801854572,
AD,7,4,0.0483362708967579,,0.7605893186003683,,2.299812973221736,
AD,7,5,0.0656580165342015,,0.679144385026738,,1.824022140088321,
AD,8,1,0.0563031683849923,,0.7158660844250364,,2.0185063819385176,
AD,8,2,0.0782401902497027,,0.833434650455927,,2.5236600038402024,
AD,8,3,0.0525166123977993,,0.6769679300291546,,1.5919077885998392,
AD,8,4,0.0554311871429048,,0.6817359855334539,,1.7175814351768444,
AD,8,5,0.0757999479708636,,0.7314457314457314,,2.000956100813349,
AD,9,1,0.0949569910608871,,0.8010657193605684,,2.269720610970872,
AD,9,2,0.0652458730020089,,0.7697456492637216,,1.980070920438215,
AD,9,3,0.0698504954308322,,0.8135338345864662,,2.3418633611609154,
AD,9,4,0.0529806874917685,,0.7016949152542373,,1.8498687327853736,
AD,9,5,0.0834102800861803,,0.6734317343173432,,1.8034982627589864,
AD,10,1,0.064032,,0.7576211894052973,,2.2868559204114254,
AD,10,2,0.0533786848072562,,0.7833474936278675,,2.1138214246627536,
AD,10,3,0.07599451303155,,0.8108303249097473,,2.235637985866109,
AD,10,4,0.0560864751471359,,0.7688311688311689,,2.18868468342223,
AD,10,5,0.0614499634769905,,0.6760772659732541,,1.820970119946624,
AD,11,1,0.06236303871439,,0.6994875549048316,,1.8880130113008249,
AD,11,2,0.0688634047299954,,0.7375597249737793,,1.9298654760699507,
AD,11,3,0.0759261004807239,,0.7833643699565487,,2.1359550023642058,
AD,11,4,0.0564090778511921,,0.7258097372173559,,1.9023484767539995,
AD,11,5,0.1377771768523526,,0.8199214916584887,,2.232572348647073,
AD,12,1,0.0853078866392883,,0.6915087719298245,,1.7219056191673132,
AD,12,2,0.0644438145790924,,0.6721311475409836,,1.897653280070036,
AD,12,3,0.0940948605918652,,0.8228817616084251,,2.186840178201022,
AD,12,4,0.050730220131456,,0.7124394184168013,,2.0607420222220894,
AD,12,5,0.0698245092207019,,0.7326943556975506,,2.0067775163318844,
AD,13,1,0.0895817650251221,,0.7877662692984171,,2.049760922936502,
AD,13,2,0.073421231326392,,0.764354527938343,,1.996828816385096,
