ID,Group,folder,q,RR-2D-xy,RR-1D-x,DET-2D-xy,DET-1D-x,ENT-2D-xy,ENT-1D-x,FixDurSum,FixCount,SaccAmpMean,SaccMaxVelPeak,SaccCount,RegCountSum,ROIFixDurSum
n1q1,Control,1,1,0.0928212162780064,0.2046944063404968,0.3858784893267651,0.454951600893522,0.866943997998272,1.2974771396460971,4165.0,15,3.3674099203412666,143.86315330466886,24,15,10.393
n1q2,Control,1,2,0.075901825486942,0.2048213817800681,0.5166858457997698,0.5539445628997868,1.947987630856836,1.853295451540507,6968.0,20,2.3665288467323857,131.0951087816035,25,25,13.446
n1q3,Control,1,3,0.1136228435455086,0.1954193932183224,0.7356020942408377,0.6179604261796042,2.471300929294098,2.4427343617656723,4892.0,12,4.006958743795872,167.60630919226605,21,15,10.143999999999998
n1q4,Control,1,4,0.2187165921986787,0.3904224116663469,0.7658854493044241,0.8650565189917855,3.265461794962797,3.479836056939965,16375.0,19,1.6734699560725341,102.66897064274406,30,17,23.465999999999983
n1q5,Control,1,5,0.0929783950617283,0.2449845679012345,0.4481327800829875,0.5464566929133858,1.1216659164865312,1.6908917356105748,3791.0,14,1.5787456367638866,116.46689476200478,21,8,9.166999999999998
n10q1,Control,10,1,0.1403616036335051,0.2177482749585116,0.8021157436216553,0.7047733654231849,3.0237583361910056,3.023566512212484,9050.0,12,1.0732112262267366,93.03282813484392,17,12,12.722999999999999
n10q2,Control,10,2,0.0951204011016171,0.2051408798813643,0.726800296956199,0.7411359724612737,2.338001917142412,2.444675066741076,10998.0,13,0.4625962812724408,96.19737727777174,19,13,14.425999999999998
n10q3,Control,10,3,0.0776627218934911,0.1643860946745562,0.580952380952381,0.6220472440944882,2.138742222610584,2.319809330474286,6968.999999999999,14,1.1793354625250259,139.04026915678648,29,9,12.344999999999999
n10q4,Control,10,4,0.340752984389348,0.4356657483930211,0.8829362940605799,0.8952870752887615,3.42923137615617,3.357915669364428,16012.000000000004,11,2.0979938707861203,97.2509392116068,18,3,19.679999999999986
n10q5,Control,10,5,0.0931336742147553,0.2030679327976625,0.7294117647058823,0.5809352517985612,2.94084147659166,2.544904298027322,6110.0,10,2.71544002467401,95.41213675568147,10,16,9.044999999999996
n11q1,Control,11,1,0.1358506944444444,0.2293836805555555,0.8194888178913738,0.6887417218543046,2.951340675624637,3.108503257134054,8558.0,11,2.035817831587745,88.47273652090787,13,15,12.113999999999997
n11q2,Control,11,2,0.078116696779679,0.1690934211924752,0.746938775510204,0.6580766813324953,2.758811739682142,2.4381772373086075,7332.999999999999,14,3.421476792736305,97.2547421719172,16,5,11.491999999999997
n11q3,Control,11,3,0.0953342544372409,0.175045169518546,0.7079152731326644,0.6490588949605343,2.4779497344155548,2.434136198643208,7702.999999999999,12,0.32592089374834116,137.34322981592442,19,7,11.245
n11q4,Control,11,4,0.2701762523191094,0.36211840107944,0.9307062036675772,0.9312412668840242,4.024958120093472,3.912226572228438,34838.0,11,0.0,62.45786736002593,16,5,37.159
n11q5,Control,11,5,0.122716049382716,0.2385185185185185,0.738430583501006,0.7939958592132506,2.7724920822039283,2.7481959362887625,8311.0,10,0.39486154009494717,80.00711423648406,13,7,11.734999999999998
n12q1,Control,12,1,0.1165903968308175,0.2204084420463083,0.718804920913884,0.6987914471645491,2.311102026741392,2.377088651001797,11124.0,13,1.392856642027268,92.95751481712288,14,14,14.434
n12q2,Control,12,2,0.1346969554152135,0.2575172023753417,0.8236529041287614,0.8559663250366032,3.451993773104822,3.383418574538818,21025.0,13,1.0444754233040703,68.18999158649693,18,6,24.812999999999988
n12q3,Control,12,3,0.0874565972222222,0.1749131944444444,0.8039702233250621,0.6923076923076923,2.6773757603504778,2.458156056129867,6845.0,12,0.7720046327996354,116.15391216950742,23,8,11.119999999999997
n12q4,Control,12,4,0.2769526521893912,0.372815948736205,0.896549951154301,0.9072609907948512,3.471341314739828,3.504327431660645,27872.0,17,2.7515260768135414,83.11163843760666,18,7,31.536999999999992
n12q5,Control,12,5,0.0886426592797784,0.2119113573407202,0.7578125,0.7222222222222222,2.559962409458829,3.247742182809743,5870.0,12,3.132055444895781,109.44284493453014,11,7,9.044999999999998
n13q1,Control,13,1,0.1077167228724459,0.166831977782186,0.8268876611418048,0.8192627824019025,2.343126908239307,2.450919929558629,6971.0,8,0.0,86.15272141417236,7,3,8.562
n13q2,Control,13,2,0.07224781884129,0.1794922066464072,0.8073270013568521,0.8088476242490442,2.577386520093291,2.867444483448387,8684.0,12,0.0,93.9301076610065,19,3,11.979999999999999
n13q3,Control,13,3,0.0757396449704142,0.1636686390532544,0.84375,0.8235719450469993,3.137532973577495,3.148391078886293,11613.0,16,1.5287916818938618,81.89886397432836,19,16,15.649999999999999
n13q4,Control,13,4,0.2668077440018302,0.4050730647144613,0.864951768488746,0.9081891987292624,3.666109260126528,4.035597055208625,39477.0,22,1.0121676787187333,75.57755780352724,25,16,45.10599999999999
