ID,Group,folder,q,RR-2D-xy,RR-1D-x,DET-2D-xy,DET-1D-x,ENT-2D-xy,ENT-1D-x
n1q1,Control,1,1,0.132754153330285,0.2836457857033989,0.7497129735935706,0.8269747447608813,1.720750552517316,2.041625557437377
n1q2,Control,1,2,0.1188750109179841,0.28692462223775,0.8030859662013226,0.858751902587519,2.2372819442998586,2.347092993683851
n1q3,Control,1,3,0.152587745389649,0.2635336109458656,0.8732943469785575,0.8476297968397292,2.7362986688846807,2.32953573469717
n1q4,Control,1,4,0.3252377950165839,0.4834023190153779,0.9448798988621996,0.9633683016728096,3.5644518642823497,3.77542240265148
n1q5,Control,1,5,0.1207561728395061,0.3152006172839506,0.8338658146964856,0.8567931456548348,1.8343359927005864,2.220010080358223
n10q1,Control,10,1,0.1752991527644335,0.2839549305616211,0.9441953163926258,0.928637342356198,3.2744859584760726,3.0614727098468126
n10q2,Control,10,2,0.1300049431537321,0.2766047595508791,0.9337316675719718,0.9387286188409496,3.00578301934294,3.0057173800088184
n10q3,Control,10,3,0.1007766272189349,0.2139423076923076,0.8825688073394495,0.8383751080380294,2.7967436849690333,2.5842437560219125
n10q4,Control,10,4,0.4428650137741047,0.5402754820936639,0.9829144895081696,0.9820518050173364,4.046031820757274,3.8043456183755424
n10q5,Control,10,5,0.1322132943754565,0.2907231555880205,0.8729281767955801,0.864321608040201,3.00194468029478,2.665620226459654
n11q1,Control,11,1,0.1618923611111111,0.291015625,0.953083109919571,0.9105145413870246,3.5420258264390143,3.08154618964708
n11q2,Control,11,2,0.0985226910404931,0.2417897757466255,0.9137001078748652,0.8953846153846153,2.9127422269543803,2.912085120450724
n11q3,Control,11,3,0.1146774364969709,0.2300988415347008,0.8980537534754403,0.877136258660508,2.881910312127602,2.787038983187462
n11q4,Control,11,4,0.3542755945353348,0.4551146905043008,0.986491311592478,0.9852225876685042,4.395860471618311,4.311902912445154
n11q5,Control,11,5,0.1646913580246913,0.3251851851851852,0.934032983508246,0.9552012148823082,2.8593058683071293,3.0998203283663823
n12q1,Control,12,1,0.1664503790724677,0.3059217266580151,0.903159622486664,0.9303415941058272,3.018844448187984,2.7669956531364743
n12q2,Control,12,2,0.1715524554623433,0.323263267037421,0.9730769230769232,0.97200758128007,3.8796860886533775,3.905315592915648
