filename,folder,q,RR-2D-xy,RR-1D-x,DET-2D-xy,DET-1D-x,ENT-2D-xy,ENT-1D-x
m1q1_preprocessed_calibrated.csv,1,1,0.047694543532831285,0.17690579997357642,0.5955678670360111,0.7162061239731142,0.8225746626043482,1.5210556669525248
m1q2_preprocessed_calibrated.csv,1,2,0.05759811519623039,0.18693037386074773,0.7158234660925726,0.8109452736318408,1.9228136424845785,2.277079516777179
m1q3_preprocessed_calibrated.csv,1,3,0.06775510204081632,0.1346938775510204,0.7771084337349398,0.7606060606060606,2.100811307624087,1.9565270951321925
m1q4_preprocessed_calibrated.csv,1,4,0.10078713013501868,0.2506291295604711,0.799566754075932,0.8691485947457704,2.3121586703445125,2.7250360247753824
m1q5_preprocessed_calibrated.csv,1,5,0.08238851095993953,0.2622826908541194,0.5657492354740061,0.6637848222862632,1.6268029406645965,1.9294796990364624
m10q1_preprocessed_calibrated.csv,10,1,0.15104494854022263,0.22752572988867886,0.9186511385364158,0.9285714285714286,2.9619861316992253,2.9681229305058876
m10q2_preprocessed_calibrated.csv,10,2,0.04718085857369466,0.16076040827512894,0.779968315437423,0.808751356098569,2.3673692691740325,2.3920036223536316
m10q3_preprocessed_calibrated.csv,10,3,0.059424012979989185,0.13865603028664142,0.8304891922639362,0.7562164797659678,2.406737771084832,2.132785213151831
m10q4_preprocessed_calibrated.csv,10,4,0.04635116598079561,0.183758573388203,0.6791950281148269,0.7540310540459839,1.932134131122677,2.0810934293529226
m10q5_preprocessed_calibrated.csv,10,5,0.08875739644970414,0.18485207100591716,0.7866666666666666,0.795134443021767,1.552766318389632,2.1115858489300234
m11q1_preprocessed_calibrated.csv,11,1,0.12237814999245511,0.25018862230270106,0.905055487053021,0.9304382790510656,3.1823774829817135,3.2536982402526147
m11q2_preprocessed_calibrated.csv,11,2,0.060028848948878125,0.18154544806366513,0.7695751484696208,0.852270324159391,2.2547392285989476,2.579642324367031
m11q3_preprocessed_calibrated.csv,11,3,0.061042524005486966,0.1558641975308642,0.8820224719101124,0.8558855885588559,2.3562660389571604,2.4001061049504164
m11q4_preprocessed_calibrated.csv,11,4,0.028713650173611112,0.13724772135416666,0.6263580538497875,0.6893961853938136,1.7145914350425544,1.7262995794440512
