,,,RR-2D-xy,RR-2D-xy,DET-2D-xy,DET-2D-xy,ENT-2D-xy,ENT-2D-xy
,,,mean,std,mean,std,mean,std
Group,folder,q,,,,,,
AD,3,1,0.159655331898892,,0.9401725549467852,,3.2337590756826406,
AD,3,2,0.073735798618846,,0.7669939577039275,,1.9498854776181231,
AD,3,3,0.0734495246717971,,0.8952234206471494,,2.946472793879864,
AD,3,4,0.0582466074890317,,0.7492883731114517,,2.0221641715761223,
AD,3,5,0.0736501329633483,,0.7511773940345369,,1.9994145302883384,
AD,4,1,0.0592550245380097,,0.7213381781731613,,1.9572703474052568,
AD,4,2,0.0695697005750545,,0.7924219967316536,,2.238548312024685,
AD,4,3,0.0561983045169934,,0.7817514901421366,,1.8707992229519432,
AD,4,4,0.0525891950561955,,0.7676431424766977,,1.989256662857005,
AD,4,5,0.0458992010068457,,0.6800997091815538,,1.802376371109217,
AD,5,1,0.0730180300419811,,0.7680292455965437,,2.2526171998190048,
AD,5,2,0.0665592941423619,,0.7085744345081536,,1.7942269819398873,
AD,5,3,0.0708913609196717,,0.8596208148446954,,2.8997977786429177,
AD,5,4,0.0578346666666666,,0.7622033689905324,,2.166939364931109,
AD,5,5,0.078204081632653,,0.7578288100208769,,2.0393110549618405,
AD,6,1,0.1188825876916614,,0.8014330585001963,,2.2666861429097267,
AD,6,2,0.0653662665435518,,0.7127722189523249,,1.9662307944707744,
AD,6,3,0.060712921991869,,0.659637439881613,,1.560275400207594,
AD,6,4,0.0546341994483959,,0.758884091663899,,2.1101252750059407,
AD,6,5,0.0982552800734618,,0.6843198338525441,,2.016909360274439,
AD,7,1,0.0596633754951839,,0.6292551398719245,,1.710490999044556,
AD,7,2,0.097369397267786,,0.7541825409971841,,1.956323528186348,
AD,7,3,0.0768998109640831,,0.7148475909537857,,1.7876603737161656,
AD,7,4,0.0550659616514447,,0.7691561590688651,,2.3426811382197035,
AD,7,5,0.080277059593348,,0.7041749502982108,,1.885633645064226,
AD,8,1,0.0692192955137766,,0.7295761307127634,,2.100381214758998,
AD,8,2,0.0935552913198573,,0.8383324860193188,,2.446038090421357,
AD,8,3,0.0641733609611203,,0.7089231748051535,,1.6873527854867802,
AD,8,4,0.0661231581409335,,0.7251136937847398,,1.881641891372872,
AD,8,5,0.0938150364203954,,0.7542461005199307,,2.0743300806307987,
AD,9,1,0.1108862277693446,,0.8164610444482001,,2.3881102967197934,
AD,9,2,0.0767752642152153,,0.7974971558589306,,1.9895512731636973,
AD,9,3,0.0813346871608137,,0.8243650452001722,,2.338066677266405,
AD,9,4,0.0639719352019252,,0.7420924574209246,,1.9043729802287284,
AD,9,5,0.0992613111726685,,0.6945736434108527,,1.872349413619296,
AD,10,1,0.077312,,0.7810430463576159,,2.3280795944206774,
AD,10,2,0.0650340136054421,,0.7921896792189679,,2.290830912897008,
AD,10,3,0.0854320987654321,,0.8304431599229287,,2.3261409528530392,
AD,10,4,0.0668084610453936,,0.8046227649367641,,2.2856208088397727,
AD,10,5,0.0739590942293645,,0.7209876543209877,,2.046903097474003,
AD,11,1,0.0780222790357925,,0.7290813341135167,,1.9517221368736024,
AD,11,2,0.0820406230689597,,0.7644527046855131,,1.9834987909653248,
AD,11,3,0.0852106701856914,,0.7853982300884956,,2.1153986651230325,
AD,11,4,0.0692617064062051,,0.7558689340522605,,1.9880666865834309,
AD,11,5,0.1656976744186046,,0.8445532435740514,,2.36184189300172,
AD,12,1,0.1038660935573089,,0.7221902017291066,,1.7905420452356666,
AD,12,2,0.0770697518616815,,0.6937479103978602,,1.876151024789267,
AD,12,3,0.1145443898923471,,0.8332677939441604,,2.393937464819245,
AD,12,4,0.0586634758806077,,0.7166806370494552,,2.078936666846757,
AD,12,5,0.0816478286734086,,0.7495446265938069,,2.0004487031424976,
AD,13,1,0.1078587559741601,,0.8221068008440189,,2.285952339005552,
AD,13,2,0.0895059981892258,,0.7964280069543227,,2.138101919597072,
