ID,Group,folder,q,RR-2D-xy,RR-1D-x,DET-2D-xy,DET-1D-x,ENT-2D-xy,ENT-1D-x,FixDurSum,FixCount,SaccAmpMean,SaccMaxVelPeak,SaccCount,RegCountSum,ROIFixDurSum
n1q1,Control,1,1,0.0928212162780064,0.2046944063404968,0.7011494252873564,0.7647058823529411,1.215792355332446,1.538586653847792,4165.0,15,3.3674099203412666,143.86315330466886,24,15,10.393
n1q2,Control,1,2,0.075901825486942,0.2048213817800681,0.7192174913693901,0.7910447761194029,1.956886820764148,1.97081070827787,6968.0,20,2.3665288467323857,131.0951087816035,25,25,13.446
n1q3,Control,1,3,0.1136228435455086,0.1954193932183224,0.8664921465968587,0.7823439878234398,2.5625220582037587,2.3481507052635964,4892.0,12,4.006958743795872,167.60630919226605,21,15,10.143999999999998
n1q4,Control,1,4,0.2187165921986787,0.3904224116663469,0.8892091740819652,0.9521168293196658,3.0722873070713104,3.371544679116846,16375.0,19,1.6734699560725341,102.66897064274406,30,17,23.465999999999983
n1q5,Control,1,5,0.0929783950617283,0.2449845679012345,0.7717842323651453,0.8110236220472441,1.3373828809562085,1.8325101764085057,3791.0,14,1.5787456367638866,116.46689476200478,21,8,9.166999999999998
n10q1,Control,10,1,0.1403616036335051,0.2177482749585116,0.911636589919104,0.8732450862414761,3.011484773306209,2.732967430340919,9050.0,12,1.0732112262267366,93.03282813484392,17,12,12.722999999999999
n10q2,Control,10,2,0.0951204011016171,0.2051408798813643,0.8812175204157386,0.8774526678141136,2.4601859178144374,2.585071407699161,10998.0,13,0.4625962812724408,96.19737727777174,19,13,14.425999999999998
n10q3,Control,10,3,0.0776627218934911,0.1643860946745562,0.8285714285714286,0.8042744656917885,2.007409822416091,2.3412003274625297,6968.999999999999,14,1.1793354625250259,139.04026915678648,29,9,12.344999999999999
n10q4,Control,10,4,0.340752984389348,0.4356657483930211,0.9480435485609572,0.9573391788213472,3.4563640691322046,3.412989368031434,16012.000000000004,11,2.0979938707861203,97.2509392116068,18,3,19.679999999999986
n10q5,Control,10,5,0.0931336742147553,0.2030679327976625,0.8784313725490196,0.7823741007194245,2.644773432406084,2.289142703784692,6110.0,10,2.71544002467401,95.41213675568147,10,16,9.044999999999996
n11q1,Control,11,1,0.1358506944444444,0.2293836805555555,0.9408945686900958,0.8571428571428571,2.8585205045020903,2.719565653254541,8558.0,11,2.035817831587745,88.47273652090787,13,15,12.113999999999997
n11q2,Control,11,2,0.078116696779679,0.1690934211924752,0.8938775510204081,0.8240100565681961,2.673368150476808,2.4531971096413754,7332.999999999999,14,3.421476792736305,97.2547421719172,16,5,11.491999999999997
n11q3,Control,11,3,0.0953342544372409,0.175045169518546,0.8862876254180602,0.843351548269581,2.446078211052176,2.37999831835545,7702.999999999999,12,0.32592089374834116,137.34322981592442,19,7,11.245
n11q4,Control,11,4,0.2701762523191094,0.36211840107944,0.9692547795552088,0.9754890544946436,4.020163912843522,3.896206566925975,34838.0,11,0.0,62.45786736002593,16,5,37.159
n11q5,Control,11,5,0.122716049382716,0.2385185185185185,0.9114688128772636,0.91407867494824,2.5169949032822894,2.7851515003939222,8311.0,10,0.39486154009494717,80.00711423648406,13,7,11.734999999999998
n12q1,Control,12,1,0.1165903968308175,0.2204084420463083,0.8687756297598125,0.8748063216609855,2.4555669732358725,2.44306778420512,11124.0,13,1.392856642027268,92.95751481712288,14,14,14.434
n12q2,Control,12,2,0.1346969554152135,0.2575172023753417,0.9433170048985304,0.9547950219619328,3.2074192384678137,3.300792325775128,21025.0,13,1.0444754233040703,68.18999158649693,18,6,24.812999999999988
n12q3,Control,12,3,0.0874565972222222,0.1749131944444444,0.8933002481389578,0.8461538461538461,2.8282016621719905,2.520197559629442,6845.0,12,0.7720046327996354,116.15391216950742,23,8,11.119999999999997
n12q4,Control,12,4,0.2769526521893912,0.372815948736205,0.9561931204689188,0.952637408807914,3.5163201178004955,3.5898253712007744,27872.0,17,2.7515260768135414,83.11163843760666,18,7,31.536999999999992
n12q5,Control,12,5,0.0886426592797784,0.2119113573407202,0.90625,0.8856209150326797,2.538058477400784,2.7953772725103003,5870.0,12,3.132055444895781,109.44284493453014,11,7,9.044999999999998
n13q1,Control,13,1,0.1077167228724459,0.166831977782186,0.9373848987108656,0.9286563614744352,2.551701555228248,2.6482778984223896,6971.0,8,0.0,86.15272141417236,7,3,8.562
n13q2,Control,13,2,0.07224781884129,0.1794922066464072,0.9050203527815468,0.9180775532495904,2.7350846498300845,2.92895074563574,8684.0,12,0.0,93.9301076610065,19,3,11.979999999999999
n13q3,Control,13,3,0.0757396449704142,0.1636686390532544,0.921875,0.9031091829356472,3.1806918757166383,3.1972391865214256,11613.0,16,1.5287916818938618,81.89886397432836,19,16,15.649999999999999
n13q4,Control,13,4,0.2668077440018302,0.4050730647144613,0.935048231511254,0.9529474055771268,3.5968193430729736,3.992457838885504,39477.0,22,1.0121676787187333,75.57755780352724,25,16,45.10599999999999
n13q5,Control,13,5,0.1004979628791308,0.2145767315527388,0.8873873873873874,0.8523206751054853,2.470916751345582,2.5573484787463694,6724.0,12,2.875180797795151,108.8147848481386,19,9,11.735999999999997
n14q1,Control,14,1,0.0865332612222823,0.1930773391022174,0.928125,0.931372549019608,2.925980553740805,3.137952171524359,8316.0,8,0.0,68.19940317177091,11,2,10.396
n14q2,Control,14,2,0.0632911392405063,0.1770549591411633,0.8632911392405064,0.8841628959276018,2.32041713954151,2.2515898129360137,7087.0,9,0.42714997395528437,118.08162230918973,12,0,9.292
n14q3,Control,14,3,0.0860116314661769,0.1996735027038057,0.833926453143535,0.8395503321410321,2.662305007175656,2.8205192337226617,8437.0,9,5.148199482554622,125.54378077065712,15,16,11.735
n14q4,Control,14,4,0.4099895941727367,0.52537865649208,0.9725042301184432,0.9701804577464788,3.926415670149303,4.331895647280535,19680.0,8,1.3904137834182508,86.53172254739668,19,4,22.241999999999987
n14q5,Control,14,5,0.0714830056393842,0.211705532693187,0.7739872068230277,0.8401727861771058,2.174796169726739,2.2995771050616614,5381.0,12,4.196908673805252,93.33902744977628,15,12,9.899999999999999
n15q1,Control,15,1,0.1062597460458899,0.1804410781911339,0.919287211740042,0.9444444444444444,2.971397217697773,3.043901270616734,15037.0,7,0.0,54.35089632362221,6,4,16.383
n15q2,Control,15,2,0.0634498884047188,0.1633542353066213,0.8927973199329984,0.9011060507482108,2.5133255120904145,2.576951761965576,9778.0,9,1.6814065128499545,77.78606921180557,8,3,11.488999999999999
n15q3,Control,15,3,0.1004938271604938,0.1982716049382716,0.9041769041769042,0.8580323785803238,2.5881817022083213,2.52901205126863,7453.0,9,2.693794204919486,129.30464231434868,16,13,10.756
n15q4,Control,15,4,0.3821165279429251,0.4757193816884661,0.9346527259148618,0.9491601679664068,3.59999097336814,3.9238368538913,31412.0,14,0.8993670032973258,83.23742102428766,17,5,34.958000000000006
n15q5,Control,15,5,0.0665128796616685,0.2003075740099961,0.630057803468208,0.6199616122840691,1.3834651896016472,1.6209131032742348,2075.0,8,4.670259403253547,139.854620847699,17,11,6.843999999999999
n16q1,Control,16,1,0.1077579637250419,0.2025605852766346,0.9405940594059404,0.9157261098570354,2.731423276188701,2.621719736493379,7577.0,8,0.0,67.14677374789804,9,2,9.66
n16q2,Control,16,2,0.0682284748218814,0.1740128003864267,0.8265486725663717,0.8556557945870923,2.165348071695538,2.28085201363154,6236.0,13,0.6463030546853054,121.74297538559546,22,3,10.758
n16q3,Control,16,3,0.087293388429752,0.1751033057851239,0.8461538461538461,0.8333333333333334,2.441058547280928,2.417083582481078,6842.0,10,1.7316141350679564,102.55057987394868,18,12,10.021999999999998
n16q4,Control,16,4,0.4191218245272299,0.4625436247057868,0.967563903950426,0.9598175118441832,3.70775904396639,3.831027930069982,23224.0,13,4.200919777769344,101.68689625027255,14,7,26.521999999999988
n16q5,Control,16,5,0.0712,0.2416,0.7865168539325843,0.7649006622516556,2.343465189601647,2.1797953773657976,2809.999999999999,7,4.917102913465867,134.76343802113988,12,7,6.111000000000001
n17q1,Control,17,1,0.0759637188208616,0.2006802721088435,0.8470149253731343,0.923728813559322,2.3465010731258285,2.8536361233289864,7093.999999999999,11,0.31586666679768155,84.56590011043957,14,6,10.147
n17q2,Control,17,2,0.0828125,0.17375,0.8867924528301887,0.8848920863309353,2.6721743081308613,2.848988361069625,6843.000000000001,9,2.0886889030786264,107.54753821738176,12,1,9.29
n17q3,Control,17,3,0.0815574427175132,0.1725684986380387,0.8231827111984283,0.7827298050139275,2.3064013695444623,2.1566940003086383,4161.0,12,5.689357546555992,142.7779095871781,23,12,9.901
n17q4,Control,17,4,0.3765866908103214,0.4801629696695337,0.896908207914603,0.912584379831806,3.083933991036796,3.25006498537392,22000.0,18,2.492297110142462,92.70170277069862,27,5,28.233999999999995
n17q5,Control,17,5,0.1128696376509787,0.2169929196168263,0.7638376383763837,0.7581573896353166,1.7167704982492151,1.8999541160283333,3177.0,6,6.034908655577355,140.6457451566303,12,6,6.111
n18q1,Control,18,1,0.1126041386723998,0.1910776672937382,0.918854415274463,0.8481012658227848,2.641268364755042,2.48333605058923,5258.0,7,1.8788385178326266,76.59528959609455,9,2,7.459
n18q2,Control,18,2,0.0837471593300227,0.1768369665853042,0.9055276381909548,0.9076630176106616,2.998843010696198,2.671333943561756,11125.0,8,3.5288578825642625,101.60591819859891,9,0,12.957999999999998
n18q3,Control,18,3,0.0991836734693877,0.1959183673469387,0.897119341563786,0.8291666666666667,2.133881863115737,2.3230271953648853,4768.0,9,4.444631311173234,144.50524807156324,16,13,8.189
